index,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Platform_Unified
14,2010.0,Misc,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,E,Microsoft
16,2013.0,Action,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,M,Sony
23,2013.0,Action,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,M,Microsoft
29,2011.0,Shooter,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,M,Microsoft
32,2010.0,Shooter,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,M,Microsoft
34,2012.0,Shooter,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,M,Sony
35,2012.0,Shooter,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,M,Microsoft
37,2011.0,Shooter,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,M,Sony
40,2011.0,Racing,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,E,Nintendo
41,2010.0,Shooter,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,M,Sony
42,2014.0,Action,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,M,Sony
53,2011.0,Platform,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,E,Nintendo
54,2010.0,Racing,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,E,Sony
60,2013.0,Shooter,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,M,Microsoft
61,2011.0,Misc,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+,Nintendo
62,2012.0,Platform,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,E,Nintendo
64,2010.0,Shooter,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,M,Microsoft
66,2012.0,Shooter,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,M,Microsoft
68,2010.0,Misc,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+,Nintendo
69,2013.0,Shooter,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,M,Sony
73,2012.0,Simulation,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,E,Nintendo
